Country/Territory,UN Region,IMF[4][5],IMF[4][5],World Bank[6],World Bank[6],United Nations[7],United Nations[7]
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
-,-,-,-,-,-,-,-
Monaco,Europe,—,—,234316,2021,234317,2021
Liechtenstein,Europe,—,—,157755,2020,169260,2021
Luxembourg,Europe,132372,2023,133590,2021,133745,2021
Ireland,Europe,114581,2023,100172,2021,101109,2021
Bermuda,Americas,—,—,114090,2021,112653,2021
Norway,Europe,101103,2023,89154,2021,89242,2021
Switzerland,Europe,98767,2023,91992,2021,93525,2021
Singapore,Asia,91100,2023,72794,2021,66822,2021
Isle of Man,Europe,—,—,87158,2019,—,—
Cayman Islands,Americas,—,—,86569,2021,85250,2021
Qatar,Asia,83891,2023,66838,2021,66799,2021
United States,Americas,80034,2023,70249,2021,69185,2021
Iceland,Europe,75180,2023,68728,2021,69133,2021
Channel Islands,Europe,—,—,75153,2007,—,—
Faroe Islands,Europe,—,—,69010,2021,—,—
Denmark,Europe,68827,2023,68008,2021,68037,2021
Australia,Oceania,64964,2023,60443,2021,66916,2021
Netherlands,Europe,61098,2023,57768,2021,57871,2021
Greenland,Americas,—,—,54571,2020,58185,2021
Austria,Europe,56802,2023,53638,2021,53840,2021
Israel,Asia,55535,2023,52171,2021,54111,2021
Sweden,Europe,55395,2023,61029,2021,60730,2021
Finland,Europe,54351,2023,53655,2021,53703,2021
Belgium,Europe,53377,2023,51247,2021,51166,2021
San Marino,Europe,52949,2023,45320,2020,50425,2021
Canada,Americas,52722,2023,51988,2021,52112,2021
Hong Kong,Asia,52429,2023,49801,2021,49259,2021
Germany,Europe,51383,2023,51204,2021,51073,2021
Macau,Asia,50571,2023,43874,2021,43555,2021
United Arab Emirates,Asia,49451,2023,44316,2021,43295,2021
British Virgin Islands,Americas,—,—,—,—,49444,2021
New Zealand,Oceania,48826,2023,48781,2021,48824,2021
United Kingdom,Europe,46371,2023,46510,2021,46542,2021
France,Europe,44408,2023,43659,2021,44229,2021
Andorra,Europe,44387,2023,42137,2021,42066,2021
European Union[n 1],Europe,39940,2023,38411,2021,31875,[8]2021
US Virgin Islands,Americas,—,—,39552,2020,—,—
Puerto Rico,Americas,38567,2023,32641,2021,32716,2021
New Caledonia,Oceania,—,—,37160,2021,34994,2021
Malta,Europe,36989,2023,33487,2021,33642,2021
Italy,Europe,36812,2023,35658,2021,35579,2021
Guam,Oceania,—,—,35905,2021,—,—
Bahamas,Americas,35458,2023,27478,2021,27478,2021
Japan,Asia,35385,2023,39313,2021,39650,2021
Brunei,Asia,35103,2023,31449,2021,31449,2021
Taiwan,Asia,33907,[n 2]2023,—,—,—,—
Cyprus,Asia,33807,[n 3]2023,31552,[n 3]2021,32281,[n 3]2021
Kuwait,Asia,33646,2023,24300,2020,32150,2021
South Korea,Asia,33393,2023,34998,2021,34940,2021
Aruba,Americas,33094,2023,29342,2021,29342,2021
Slovenia,Europe,32214,2023,29291,2021,29135,2021
Czech Republic,Europe,31368,2023,26821,2021,26809,2021
Spain,Europe,31223,2023,30104,2021,30058,2021
Estonia,Europe,31209,2023,27944,2021,27991,2021
Saudi Arabia,Asia,29922,2023,23186,2021,23186,2021
Bahrain,Asia,28385,2023,26563,2021,26563,2021
Lithuania,Europe,28094,2023,23723,2021,23844,2021
Sint Maarten (Dutch part),Americas,—,—,28988,2018,26199,2021
Portugal,Europe,26012,2023,24568,2021,24651,2021
Latvia,Europe,25136,2023,21148,2021,21267,2021
Northern Mariana Islands,Oceania,—,—,23707,2019,—,—
Slovakia,Europe,23457,2023,21392,2021,21390,2021
Greece,Europe,22595,2023,20193,2021,20571,2021
Oman,Asia,21960,2023,19510,2021,19509,2021
Saint Martin (French part),Americas,—,—,21921,2014,—,—
Uruguay,Americas,21677,2023,17313,2021,17313,2021
Barbados,Americas,21085,2023,17226,2021,17225,2021
Turks and Caicos Islands,Americas,—,—,20909,2021,20909,2021
Guyana,Americas,20539,2023,9999,2021,9999,2021
Croatia,Europe,20537,2023,17685,2021,16983,2021
French Polynesia,Oceania,—,—,19915,2021,19915,2021
Poland,Europe,19912,2023,18000,2021,17736,2021
Trinidad and Tobago,Americas,19858,2023,16033,2021,16033,2021
Seychelles,Africa,19536,2023,14653,2021,12085,2021
Hungary,Europe,19385,2023,18728,2021,18728,2021
Cook Islands,Oceania,—,—,—,—,19264,2021
Anguilla,Americas,—,—,—,—,19216,2021
Romania,Europe,18530,2023,14858,2021,14698,2021
Antigua and Barbuda,Americas,18244,2023,15781,2021,15246,2021
Saint Kitts and Nevis,Americas,17856,2023,18083,2021,18083,2021
Chile,Americas,17827,2023,16265,2021,16265,2021
Curaçao,Americas,—,—,17718,2021,14183,2021
Maldives,Asia,17626,2023,10366,2021,10366,2021
Panama,Americas,17350,2023,14618,2021,14618,2021
Montserrat,Americas,—,—,—,—,16199,2021
American Samoa,Oceania,—,—,15743,2021,—,—
Bulgaria,Europe,14893,2023,12222,2021,12207,2021
Palau,Oceania,14804,2023,12084,2021,12084,2021
Costa Rica,Americas,14733,2023,12472,2021,12472,2021
Russia,Europe,14403,2023,12195,2021,12259,2021
China,Asia,13721,[n 4]2023,12556,[n 5]2021,12437,[n 4]2021
Argentina,Americas,13709,2023,10636,2021,10761,2021
World,World,13440,2023,12235,2021,12230,2021
Malaysia,Asia,13382,2023,11109,2021,11101,2021
Turkmenistan,Asia,13065,2023,7345,2019,8508,2021
Mexico,Americas,12673,2023,10046,2021,10046,2021
Kazakhstan,Asia,12306,2023,10374,2021,10055,2021
Saint Lucia,Americas,12264,2023,9414,2021,9824,2021
Turkey,Asia,11931,2023,9661,2021,9661,2021
Nauru,Oceania,11825,2023,10648,2021,12390,2021
Mauritius,Africa,11548,2023,9106,2021,8873,2021
Dominican Republic,Americas,11308,2023,8477,2021,8477,2021
Montenegro,Europe,11289,2023,9466,2021,9252,2021
Cuba,Americas,—,—,9500,2020,11255,2021
Grenada,Americas,11137,2023,9011,2021,8950,2021
Serbia,Europe,10849,2023,9230,2021,8643,2021
Equatorial Guinea,Africa,9777,2023,7507,2021,7605,2021
Brazil,Americas,9673,2023,7507,2021,7507,2021
Saint Vincent and the Grenadines,Americas,9359,2023,8666,2021,8440,2021
Gabon,Africa,9294,2023,8635,2021,7911,2021
Dominica,Americas,9144,2023,7653,2021,7571,2021
Bosnia and Herzegovina,Europe,8223,2023,7143,2021,7143,2021
Thailand,Asia,8181,2023,7066,2021,7067,2021
Armenia,Asia,8007,2023,4967,2021,4967,2021
Belarus,Europe,7944,2023,7302,2021,7121,2021
Peru,Americas,7772,2023,6622,2021,6622,2021
Georgia,Asia,7600,[n 6]2023,5023,[n 6]2021,4975,[n 6]2021
North Macedonia,Europe,7384,2023,6695,2021,6600,2021
Botswana,Africa,7270,2023,6805,2021,6805,2021
Albania,Europe,7058,2023,6493,2021,6396,2021
Belize,Americas,7017,2023,6228,2021,6229,2021
Libya,Africa,6763,2023,6357,2021,5791,2021
Azerbaijan,Asia,6757,2023,5388,2021,5296,2021
Ecuador,Americas,6642,2023,5965,2021,5965,2021
South Africa,Africa,6485,2023,7055,2021,7055,2021
Colombia,Americas,6417,2023,6104,2021,6104,2021
Moldova,Europe,6342,[n 7]2023,5231,[n 7]2021,4468,[n 7]2021
Jamaica,Americas,6282,2023,5184,2021,5184,2021
Iraq,Asia,6180,2023,4775,2021,4686,2021
Tuvalu,Oceania,6007,2023,5632,2021,5370,2021
Fiji,Oceania,5887,2023,4647,2021,4647,2021
Paraguay,Americas,5667,2023,5892,2021,6035,2021
Kosovo,Europe,5641,2023,5270,2021,5663,2021
Suriname,Americas,5556,2023,4869,2021,5259,2021
Tonga,Oceania,5421,2023,4426,2021,4451,2021
Guatemala,Americas,5358,2023,5026,2021,4883,2021
El Salvador,Americas,5308,2023,4551,2021,4551,2021
Marshall Islands,Oceania,5164,2023,6172,2021,6111,2021
Namibia,Africa,5100,2023,4866,2021,4836,2021
Jordan,Asia,5048,2023,4103,2021,4058,2021
Indonesia,Asia,5016,2023,4333,2021,4333,2021
Mongolia,Asia,4814,2023,4566,2021,4510,2021
Ukraine,Europe,4654,[n 8]2023,4836,[n 8]2021,4596,[n 8]2021
Algeria,Africa,4481,2023,3691,2021,3700,2021
Vietnam,Asia,4475,2023,3757,2021,3756,2021
Samoa,Oceania,4436,2023,3857,2021,3919,2021
Micronesia,Oceania,4336,2023,3571,2021,3573,2021
Cape Verde,Africa,4278,2023,3293,2021,3293,2021
Iran,Asia,4251,2023,4091,2021,6766,2021
Eswatini,Africa,4146,2023,3978,2021,3969,2021
Lebanon,Asia,3589,2020,4136,2021,6785,2021
Tunisia,Africa,4071,2023,3807,2021,3807,2021
Philippines,Asia,3905,2023,3461,2021,3461,2021
Djibouti,Africa,3802,2023,3150,2021,3348,2021
Bolivia,Americas,3800,2023,3345,2021,3345,2021
Morocco,Africa,3748,2023,3795,2021,3853,2021
Egypt,Africa,3644,2023,3699,2021,3898,2021
Venezuela,Americas,3640,2023,15976,2014,3965,2021
Papua New Guinea,Oceania,3517,2023,2673,2021,2673,2021
Palestine,Asia,3506,[n 9]2023,3664,[n 9]2021,3514,[n 10]2021
Bhutan,Asia,3497,2023,3266,2021,3063,2021
Sri Lanka,Asia,3362,2022,4014,2021,3918,2021
Honduras,Americas,3278,2023,2772,2021,2772,2021
Angola,Africa,3204,2023,1954,2021,2258,2021
Vanuatu,Oceania,3188,2023,2997,2021,3073,2021
São Tomé and Príncipe,Africa,2695,2023,2361,2021,2486,2021
Ivory Coast,Africa,2646,2023,2549,2021,2539,2021
India,Asia,2601,2023,2257,2021,2274,2021
Nicaragua,Americas,2589,2023,2046,2021,2046,2021
Congo,Africa,2584,2023,2290,2021,2200,2021
Uzbekistan,Asia,2563,2023,1983,2021,2032,2021
Mauritania,Africa,2475,2023,2166,2021,2166,2021
Bangladesh,Asia,2469,2023,2458,2021,2450,2021
Solomon Islands,Oceania,2299,2023,2305,2021,2306,2021
Nigeria,Africa,2280,2023,2066,2021,2019,2021
Kenya,Africa,2269,2023,2082,2021,2082,2021
Haiti,Americas,2173,2023,1830,2021,1664,2021
Ghana,Africa,2024,2023,2363,2021,2409,2021
Kiribati,Oceania,1989,2023,1607,2021,1765,2021
Cambodia,Asia,1896,2023,1625,2021,1608,2021
Laos,Asia,1858,2023,2536,2021,2569,2021
Zimbabwe,Africa,1851,2023,1774,2021,1508,2021
Kyrgyzstan,Asia,1736,2023,1277,2021,1339,2021
Senegal,Africa,1719,2023,1637,2021,1637,2021
Cameroon,Africa,1699,2023,1667,2021,1668,2021
Pakistan,Asia,1658,2022,1505,2021,1480,2021
Guinea,Africa,1549,2023,1189,2021,1185,2021
Ethiopia,Africa,1475,2023,925,2021,825,2021
Timor-Leste,Asia,1425,2023,2741,2021,1517,2021
Zambia,Africa,1423,2023,1137,2021,1095,2021
Benin,Africa,1390,2023,1319,2021,1361,2021
Nepal,Asia,1377,2023,1208,2021,1159,2021
Comoros,Africa,1360,2023,1578,2021,1631,2021
Tanzania,Africa,1348,2023,1099,2021,1136,[n 11]2021
Tajikistan,Asia,1277,2023,897,2021,897,2021
Zanzibar,Africa,—,—,—,—,1211,2021
Lesotho,Africa,1208,2023,1094,2021,1040,2021
Myanmar,Asia,1180,2023,1210,2021,1089,2021
Uganda,Africa,1105,2023,884,2021,930,2021
Togo,Africa,990,2023,973,2021,944,2021
Sudan,Africa,975,2023,752,2021,786,2021
Guinea-Bissau,Africa,974,2023,795,2021,759,2021
Rwanda,Africa,970,2023,822,2021,822,2021
Syria,Asia,—,—,533,2020,925,2021
Burkina Faso,Africa,900,2023,893,2021,893,2021
Mali,Africa,889,2023,874,2021,875,2021
Gambia,Africa,861,2023,772,2021,772,2021
Liberia,Africa,805,2023,676,2021,471,2021
Eritrea,Africa,715,2023,644,2011,623,2021
DR Congo,Africa,695,2023,577,2021,551,2021
Chad,Africa,667,2023,686,2021,955,2021
North Korea,Asia,—,—,—,—,654,2021
Niger,Africa,613,2023,591,2021,591,2021
Mozambique,Africa,587,2023,492,2021,492,2021
Yemen,Asia,573,2023,702,2018,302,2021
Somalia,Africa,544,2023,447,2021,447,2021
Madagascar,Africa,536,2023,501,2021,500,2021
Central African Republic,Africa,534,2023,461,2021,461,2021
Malawi,Africa,496,2023,635,2021,613,2021
South Sudan,Africa,467,2023,1072,2015,400,2021
Sierra Leone,Africa,415,2023,480,2021,505,2021
Afghanistan,Asia,611,2020,369,2021,373,2021
Burundi,Africa,249,2023,222,2021,311,2021
